100000 1000
17693 45278 18 17694
17694 45278 19 17695
17695 45278 20 17696
17696 45278 21 17697
17697 45278 22 17698
17698 45278 23 98846
17699 24197 21 95222
17700 42726 21 17701
17701 42726 22 17702
17702 42726 23 17703
17703 42726 24 17704
17704 42726 25 17705
17705 42726 26 25258
17706 40271 30 17707
17707 40271 31 17708
17708 40271 32 17709
17709 40271 33 4279
17710 42503 27 26776
17711 0 0 0
17712 0 0 0
17713 44153 86 86336
17714 64537 73 30953
17715 0 0 0
17716 0 0 0
17717 0 0 0
17718 1148 49 85127
17719 47600 56 6719
17720 63472 106 19896
17721 0 0 0
17722 8817 2 54566
17723 0 0 0
17724 545 36 17725
17725 545 37 17726
17726 545 38 17727
17727 545 39 17728
17728 545 40 83509
17729 14279 119 33160
17730 61622 147 34737
17731 0 0 0
17732 1598 139 4721
17733 0 0 0
17734 31668 24 70152
17735 45910 47 96306
17736 37109 21 17737
17737 37109 22 17738
17738 37109 23 17739
17739 37109 24 56232
17740 8438 45 40672
17741 0 0 0
17742 9754 53 90102
17743 0 0 0
17744 41494 42 17745
17745 41494 43 47656
17746 7744 30 73017
17747 0 0 0
17748 21991 80 55856
17749 2583 32 2564
17750 6583 116 42645
17751 0 0 0
17752 34504 70 60420
17753 49968 35 48885
17754 12576 68 66018
17755 13625 14 74462
17756 0 0 0
17757 55707 59 15928
17758 25517 142 87584
17759 0 0 0
17760 40006 143 50927
17761 219 12 17762
17762 219 13 17763
17763 219 14 17764
17764 219 15 17765
17765 219 16 96433
17766 63472 57 26194
17767 0 0 0
17768 28837 54 17769
17769 28837 55 17770
17770 28837 56 97182
17771 54928 91 18847
17772 50878 19 17773
17773 50878 20 17774
17774 50878 21 67465
17775 19596 125 34669
17776 0 0 0
17777 0 0 0
17778 43010 164 64220
17779 0 0 0
17780 2398 150 72960
17781 0 0 0
17782 43010 95 7609
17783 28089 47 17784
17784 28089 48 17785
17785 28089 49 90884
17786 39237 33 694
17787 0 0 0
17788 55855 2 48348
17789 0 0 0
17790 40866 26 92965
17791 53564 115 17792
17792 53564 116 17793
17793 53564 117 2124
17794 18454 82 50450
17795 0 0 0
17796 38049 6 1345
17797 0 0 0
17798 61957 18 40859
17799 18454 54 20882
17800 17885 26 26750
17801 0 0 0
17802 4896 21 58514
17803 0 0 0
17804 61017 67 17805
17805 61017 68 17806
17806 61017 69 17807
17807 61017 70 17808
17808 61017 71 17809
17809 61017 72 17810
17810 61017 73 17811
17811 61017 74 61372
17812 35096 84 25054
17813 11214 96 95062
17814 0 0 0
17815 0 0 0
17816 13236 1 17817
17817 13236 2 17818
17818 13236 3 17819
17819 13236 4 17820
17820 13236 5 44572
17821 47857 17 6460
17822 2398 27 80062
17823 0 0 0
17824 28552 7 72074
17825 0 0 0
17826 21899 47 17827
17827 21899 48 17828
17828 21899 49 17829
17829 21899 50 17830
17830 21899 51 17831
17831 21899 52 17832
17832 21899 53 17833
17833 21899 54 17834
17834 21899 55 17835
17835 21899 56 17836
17836 21899 57 17837
17837 21899 58 17838
17838 21899 59 17839
17839 21899 60 17840
17840 21899 61 17841
17841 21899 62 17842
17842 21899 63 17843
17843 21899 64 17844
17844 21899 65 17845
17845 21899 66 17846
17846 21899 67 17847
17847 21899 68 17848
17848 21899 69 17849
17849 21899 70 17850
17850 21899 71 17851
17851 21899 72 17852
17852 21899 73 17853
17853 21899 74 17854
17854 21899 75 17855
17855 21899 76 17856
17856 21899 77 17857
17857 21899 78 17858
17858 21899 79 17859
17859 21899 80 17860
17860 21899 81 17861
17861 21899 82 17862
17862 21899 83 17863
17863 21899 84 63440
17864 33917 131 1
17865 0 0 0
17866 39099 76 99291
17867 45193 28 54078
17868 8189 33 17869
17869 8189 34 17870
17870 8189 35 17871
17871 8189 36 17872
17872 8189 37 17873
17873 8189 38 17874
17874 8189 39 17875
17875 8189 40 17876
17876 8189 41 17877
17877 8189 42 17878
17878 8189 43 17879
17879 8189 44 9670
17880 56520 5 33156
17881 0 0 0
17882 55855 18 67956
17883 0 0 0
17884 19596 110 25374
17885 0 0 0
17886 30667 3 13303
17887 0 0 0
17888 48766 48 17889
17889 48766 49 17890
17890 48766 50 17891
17891 48766 51 17892
17892 48766 52 17893
17893 48766 53 17894
17894 48766 54 17895
17895 48766 55 17896
17896 48766 56 17897
17897 48766 57 17898
17898 48766 58 17899
17899 48766 59 17900
17900 48766 60 17901
17901 48766 61 17902
17902 48766 62 17903
17903 48766 63 17904
17904 48766 64 17905
17905 48766 65 17906
17906 48766 66 17907
17907 48766 67 17908
17908 48766 68 17909
17909 48766 69 17910
17910 48766 70 17911
17911 48766 71 17912
17912 48766 72 17913
17913 48766 73 17914
17914 48766 74 17915
17915 48766 75 26792
17916 17499 45 17917
17917 17499 46 17918
17918 17499 47 17919
17919 17499 48 17920
17920 17499 49 17921
17921 17499 50 17922
17922 17499 51 17923
17923 17499 52 17924
17924 17499 53 17925
17925 17499 54 17926
17926 17499 55 17927
17927 17499 56 17928
17928 17499 57 17929
17929 17499 58 17930
17930 17499 59 17931
17931 17499 60 17932
17932 17499 61 17933
17933 17499 62 17934
17934 17499 63 17935
17935 17499 64 17936
17936 17499 65 17937
17937 17499 66 17938
17938 17499 67 17939
17939 17499 68 17940
17940 17499 69 17941
17941 17499 70 17942
17942 17499 71 17943
17943 17499 72 17944
17944 17499 73 17945
17945 17499 74 17946
17946 17499 75 17947
17947 17499 76 17948
17948 17499 77 17949
17949 17499 78 17950
17950 17499 79 17951
17951 17499 80 17952
17952 17499 81 17953
17953 17499 82 17954
17954 17499 83 93370
17955 44153 168 31193
17956 36229 53 97133
17957 59366 41 50451
17958 45820 1 17959
17959 45820 2 80984
17960 8676 10 36896
17961 61609 40 13698
17962 37422 84 17963
17963 37422 85 17964
17964 37422 86 17965
17965 37422 87 17966
17966 37422 88 17967
17967 37422 89 76063
17968 31668 33 86040
17969 37548 10 17494
17970 27504 32 17971
17971 27504 33 91981
17972 21494 165 17973
17973 21494 166 46085
17974 1684 35 52110
17975 15142 28 7290
17976 35914 45 36399
17977 0 0 0
17978 0 0 0
17979 0 0 0
17980 47857 38 47822
17981 25749 20 54958
17982 45092 7 17983
17983 45092 8 17984
17984 45092 9 17985
17985 45092 10 17986
17986 45092 11 17987
17987 45092 12 17988
17988 45092 13 17989
17989 45092 14 51630
17990 24197 88 31118
17991 0 0 0
17992 0 0 0
17993 0 0 0
17994 8817 13 60898
17995 41494 94 17996
17996 41494 95 17997
17997 41494 96 40678
17998 65262 6 17999
17999 65262 7 18000
18000 65262 8 18001
18001 65262 9 18002
18002 65262 10 18003
18003 65262 11 18004
18004 65262 12 18005
18005 65262 13 6036
18006 43010 155 62644
18007 0 0 0
18008 64537 58 30820
18009 0 0 0
18010 0 0 0
18011 24173 93 18030
18012 57898 121 61865
18013 0 0 0
18014 15385 3 34577
18015 0 0 0
18016 41494 103 18017
18017 41494 104 42068
18018 34989 10 39402
18019 0 0 0
18020 55001 17 18021
18021 55001 18 3221
18022 1684 85 29050
18023 0 0 0
18024 15415 15 18025
18025 15415 16 18026
18026 15415 17 99528
18027 22188 123 23442
18028 42546 64 18029
18029 42546 65 76632
18030 24173 94 82392
18031 0 0 0
18032 8676 43 56160
18033 0 0 0
18034 19701 44 2196
18035 0 0 0
18036 47857 35 28121
18037 0 0 0
18038 0 0 0
18039 0 0 0
18040 2420 69 3184
18041 0 0 0
18042 22188 36 88092
18043 61957 47 11439
18044 25749 19 17981
18045 0 0 0
18046 47857 28 11887
18047 0 0 0
18048 56034 3 23072
18049 0 0 0
18050 40271 84 18051
18051 40271 85 18052
18052 40271 86 18053
18053 40271 87 3473
18054 33066 49 78006
18055 0 0 0
18056 40613 35 42769
18057 15385 18 75940
18058 14824 49 53778
18059 0 0 0
18060 61898 126 18061
18061 61898 127 97045
18062 61609 26 79992
18063 0 0 0
18064 50496 10 97113
18065 0 0 0
18066 65151 15 18067
18067 65151 16 18068
18068 65151 17 18069
18069 65151 18 71790
18070 15385 83 53170
18071 65435 50 68100
18072 49 65 718
18073 62511 29 97872
18074 21494 33 18075
18075 21494 34 59868
18076 29164 44 18077
18077 29164 45 1
18078 60711 7 55495
18079 18878 48 18080
18080 18878 49 18081
18081 18878 50 18082
18082 18878 51 18083
18083 18878 52 73654
18084 17997 1 18085
18085 17997 2 18086
18086 17997 3 18087
18087 17997 4 18088
18088 17997 5 18089
18089 17997 6 18090
18090 17997 7 18091
18091 17997 8 18092
18092 17997 9 18093
18093 17997 10 18094
18094 17997 11 18095
18095 17997 12 18096
18096 17997 13 18097
18097 17997 14 18098
18098 17997 15 18099
18099 17997 16 18100
18100 17997 17 18101
18101 17997 18 18102
18102 17997 19 18103
18103 17997 20 18104
18104 17997 21 18105
18105 17997 22 18106
18106 17997 23 18107
18107 17997 24 18108
18108 17997 25 18109
18109 17997 26 18110
18110 17997 27 1
18111 0 0 0
18112 47359 34 18113
18113 47359 35 23872
18114 2145 93 82826
18115 0 0 0
18116 0 0 0
18117 23724 62 1
18118 0 0 0
18119 0 0 0
18120 0 0 0
18121 32777 118 79666
18122 0 0 0
18123 22479 1 49128
18124 25933 77 29900
18125 0 0 0
18126 164 1 18127
18127 164 2 18128
18128 164 3 18129
18129 164 4 18130
18130 164 5 18131
18131 164 6 18132
18132 164 7 18133
18133 164 8 18134
18134 164 9 18135
18135 164 10 18136
18136 164 11 18137
18137 164 12 18138
18138 164 13 18139
18139 164 14 18140
18140 164 15 18141
18141 164 16 18142
18142 164 17 18143
18143 164 18 18144
18144 164 19 27339
18145 45846 89 90240
18146 16442 45 43188
18147 0 0 0
18148 38776 31 18149
18149 38776 32 18150
18150 38776 33 18151
18151 38776 34 18152
18152 38776 35 18153
18153 38776 36 18154
18154 38776 37 18155
18155 38776 38 18156
18156 38776 39 18157
18157 38776 40 18158
18158 38776 41 18159
18159 38776 42 18160
18160 38776 43 18161
18161 38776 44 18162
18162 38776 45 18163
18163 38776 46 63976
18164 36229 94 97274
18165 0 0 0
18166 27602 4 44600
18167 41494 66 18168
18168 41494 67 18169
18169 41494 68 5713
18170 30625 58 82854
18171 0 0 0
18172 61991 120 7812
18173 0 0 0
18174 1148 59 91354
18175 0 0 0
18176 0 0 0
18177 57847 73 65534
18178 30951 26 8963
18179 0 0 0
18180 18924 38 18181
18181 18924 39 18182
18182 18924 40 18183
18183 18924 41 18184
18184 18924 42 18185
18185 18924 43 18186
18186 18924 44 18187
18187 18924 45 18188
18188 18924 46 18189
18189 18924 47 18190
18190 18924 48 18191
18191 18924 49 35110
18192 15385 12 9651
18193 48795 71 68832
18194 0 0 0
18195 19440 28 18196
18196 19440 29 18197
18197 19440 30 18198
18198 19440 31 18199
18199 19440 32 18200
18200 19440 33 18201
18201 19440 34 18202
18202 19440 35 18203
18203 19440 36 18204
18204 19440 37 18205
18205 19440 38 18206
18206 19440 39 18207
18207 19440 40 57490
18208 49866 19 30438
18209 0 0 0
18210 0 0 0
18211 0 0 0
18212 34906 12 1574
18213 45846 1 11294
18214 7408 13 18215
18215 7408 14 18216
18216 7408 15 18217
18217 7408 16 18218
18218 7408 17 18219
18219 7408 18 18220
18220 7408 19 18221
18221 7408 20 53060
18222 7141 24 18223
18223 7141 25 18224
18224 7141 26 18225
18225 7141 27 18226
18226 7141 28 18227
18227 7141 29 18228
18228 7141 30 18229
18229 7141 31 18230
18230 7141 32 18231
18231 7141 33 18232
18232 7141 34 18233
18233 7141 35 18234
18234 7141 36 1
18235 48850 59 62969
18236 11578 146 18237
18237 11578 147 18238
18238 11578 148 18239
18239 11578 149 18240
18240 11578 150 18241
18241 11578 151 18242
18242 11578 152 18243
18243 11578 153 18244
18244 11578 154 18245
18245 11578 155 1
18246 0 0 0
18247 0 0 0
18248 0 0 0
18249 0 0 0
18250 5271 54 91524
18251 0 0 0
18252 19398 62 18253
18253 19398 63 18254
18254 19398 64 18255
18255 19398 65 18256
18256 19398 66 18257
18257 19398 67 50713
18258 33917 91 44690
18259 0 0 0
18260 41569 28 33290
18261 63899 63 95540
18262 33751 84 18263
18263 33751 85 87136
18264 50881 81 45758
18265 2678 147 96376
18266 57898 27 99590
18267 0 0 0
18268 56520 68 92950
18269 27332 89 18270
18270 27332 90 18271
18271 27332 91 18272
18272 27332 92 18273
18273 27332 93 18274
18274 27332 94 82469
18275 33917 64 49422
18276 15089 35 18277
18277 15089 36 18278
18278 15089 37 18279
18279 15089 38 18280
18280 15089 39 18281
18281 15089 40 18282
18282 15089 41 18283
18283 15089 42 18284
18284 15089 43 18285
18285 15089 44 99726
18286 31090 84 18287
18287 31090 85 18288
18288 31090 86 18289
18289 31090 87 18290
18290 31090 88 18291
18291 31090 89 18292
18292 31090 90 18293
18293 31090 91 18294
18294 31090 92 18295
18295 31090 93 18296
18296 31090 94 18297
18297 31090 95 18298
18298 31090 96 18299
18299 31090 97 18300
18300 31090 98 18301
18301 31090 99 18302
18302 31090 100 18303
18303 31090 101 18304
18304 31090 102 18305
18305 31090 103 47322
18306 36286 31 71309
18307 0 0 0
18308 35914 42 29930
18309 0 0 0
18310 63075 38 14270
18311 0 0 0
18312 27451 68 61508
18313 0 0 0
18314 58686 107 65847
18315 0 0 0
18316 12390 89 12606
18317 30833 95 50832
18318 2583 54 89572
18319 0 0 0
18320 0 0 0
18321 61797 6 18322
18322 61797 7 18323
18323 61797 8 18324
18324 61797 9 18325
18325 61797 10 52300
18326 12708 2 37383
18327 0 0 0
18328 26698 17 18329
18329 26698 18 18330
18330 26698 19 18331
18331 26698 20 26494
18332 64581 122 78724
18333 0 0 0
18334 44231 15 18335
18335 44231 16 77394
18336 28552 60 55158
18337 0 0 0
18338 19198 57 96912
18339 0 0 0
18340 6446 110 18341
18341 6446 111 18342
18342 6446 112 18343
18343 6446 113 69290
18344 57069 19 87968
18345 0 0 0
18346 64588 1 18347
18347 64588 2 18348
18348 64588 3 18349
18349 64588 4 18350
18350 64588 5 18351
18351 64588 6 18352
18352 64588 7 18353
18353 64588 8 18354
18354 64588 9 96568
18355 43010 48 82523
18356 37202 2 92478
18357 0 0 0
18358 0 0 0
18359 0 0 0
18360 12390 88 18316
18361 0 0 0
18362 0 0 0
18363 18389 46 46530
18364 39237 11 32758
18365 30476 86 91216
18366 1931 29 18367
18367 1931 30 18368
18368 1931 31 18369
18369 1931 32 3088
18370 15385 70 76074
18371 0 0 0
18372 31298 10 2008
18373 0 0 0
18374 22188 9 56352
18375 44231 29 18376
18376 44231 30 18377
18377 44231 31 38571
18378 32307 15 18379
18379 32307 16 18380
18380 32307 17 18381
18381 32307 18 18382
18382 32307 19 18383
18383 32307 20 25398
18384 63472 43 84612
18385 9571 8 18386
18386 9571 9 18387
18387 9571 10 18388
18388 9571 11 18389
18389 9571 12 1
18390 51597 3 55939
18391 0 0 0
18392 40006 118 47102
18393 12470 42 91650
18394 1598 118 91113
18395 0 0 0
18396 0 0 0
18397 7748 40 52174
18398 0 0 0
18399 0 0 0
18400 29267 23 93732
18401 0 0 0
18402 0 0 0
18403 0 0 0
18404 55855 84 32992
18405 0 0 0
18406 59292 85 18407
18407 59292 86 18408
18408 59292 87 18409
18409 59292 88 18410
18410 59292 89 87808
18411 9754 79 11440
18412 5234 49 99938
18413 0 0 0
18414 42523 35 60166
18415 0 0 0
18416 25749 131 64616
18417 0 0 0
18418 0 0 0
18419 0 0 0
18420 7912 1 18421
18421 7912 2 22036
18422 34979 98 95547
18423 0 0 0
18424 41355 71 18425
18425 41355 72 18426
18426 41355 73 18427
18427 41355 74 18428
18428 41355 75 18429
18429 41355 76 18430
18430 41355 77 18431
18431 41355 78 18432
18432 41355 79 18433
18433 41355 80 18434
18434 41355 81 18435
18435 41355 82 18436
18436 41355 83 18437
18437 41355 84 18438
18438 41355 85 18439
18439 41355 86 89444
18440 52695 7 77954
18441 0 0 0
18442 19162 57 5529
18443 0 0 0
18444 31298 91 19364
18445 0 0 0
18446 0 0 0
18447 0 0 0
18448 47405 68 8630
18449 0 0 0
18450 14824 56 31801
18451 13812 48 64278
18452 2398 35 79202
18453 0 0 0
18454 62005 77 84519
18455 0 0 0
18456 0 0 0
18457 48795 16 23095
18458 0 0 0
18459 38282 75 29443
18460 12390 2 52057
18461 0 0 0
18462 55855 50 40148
18463 0 0 0
18464 8817 70 38940
18465 0 0 0
18466 20857 23 58604
18467 0 0 0
18468 31933 117 42646
18469 27602 75 74459
18470 7748 18 98277
18471 5586 21 1
18472 38126 123 60099
18473 0 0 0
18474 17382 150 21854
18475 42503 80 44710
18476 0 0 0
18477 0 0 0
18478 41624 121 18479
18479 41624 122 1
18480 0 0 0
18481 24197 116 64477
18482 18481 22 56347
18483 0 0 0
18484 48795 26 43580
18485 5606 3 21972
18486 18454 112 81662
18487 64537 82 65610
18488 49750 1 18489
18489 49750 2 18490
18490 49750 3 18491
18491 49750 4 18492
18492 49750 5 18493
18493 49750 6 18494
18494 49750 7 18495
18495 49750 8 18496
18496 49750 9 71409
18497 33917 4 29686
18498 33917 69 2522
18499 0 0 0
18500 1186 28 65832
18501 0 0 0
18502 41029 5 16272
18503 0 0 0
18504 33917 112 30443
18505 0 0 0
18506 25749 66 29889
18507 0 0 0
18508 42584 12 18509
18509 42584 13 18510
18510 42584 14 18511
18511 42584 15 18512
18512 42584 16 62572
18513 43010 132 76088
18514 13067 75 18515
18515 13067 76 18516
18516 13067 77 18517
18517 13067 78 86656
18518 48125 43 18519
18519 48125 44 18520
18520 48125 45 18521
18521 48125 46 18522
18522 48125 47 18523
18523 48125 48 18524
18524 48125 49 18525
18525 48125 50 18526
18526 48125 51 18527
18527 48125 52 47392
18528 41824 116 28622
18529 0 0 0
18530 65140 63 18531
18531 65140 64 18532
18532 65140 65 18533
18533 65140 66 18534
18534 65140 67 18535
18535 65140 68 18536
18536 65140 69 18537
18537 65140 70 18538
18538 65140 71 18539
18539 65140 72 18540
18540 65140 73 18541
18541 65140 74 18542
18542 65140 75 18543
18543 65140 76 18544
18544 65140 77 18545
18545 65140 78 18546
18546 65140 79 18547
18547 65140 80 18548
18548 65140 81 18549
18549 65140 82 18550
18550 65140 83 18551
18551 65140 84 18552
18552 65140 85 18553
18553 65140 86 18554
18554 65140 87 18555
18555 65140 88 18556
18556 65140 89 18557
18557 65140 90 18558
18558 65140 91 18559
18559 65140 92 18560
18560 65140 93 18561
18561 65140 94 18562
18562 65140 95 18563
18563 65140 96 18564
18564 65140 97 18565
18565 65140 98 18566
18566 65140 99 18567
18567 65140 100 18568
18568 65140 101 18569
18569 65140 102 18570
18570 65140 103 18571
18571 65140 104 18572
18572 65140 105 18573
18573 65140 106 18574
18574 65140 107 18575
18575 65140 108 18576
18576 65140 109 18577
18577 65140 110 18578
18578 65140 111 18579
18579 65140 112 18580
18580 65140 113 18581
18581 65140 114 18582
18582 65140 115 18583
18583 65140 116 18584
18584 65140 117 18585
18585 65140 118 18586
18586 65140 119 18587
18587 65140 120 18588
18588 65140 121 18589
18589 65140 122 18590
18590 65140 123 18591
18591 65140 124 18592
18592 65140 125 1
18593 55855 31 87570
18594 49 26 35398
18595 0 0 0
18596 0 0 0
18597 0 0 0
18598 28991 150 18599
18599 28991 151 18600
18600 28991 152 18601
18601 28991 153 42037
18602 57117 43 29438
18603 21020 17 18604
18604 21020 18 18605
18605 21020 19 18606
18606 21020 20 18607
18607 21020 21 18608
18608 21020 22 18609
18609 21020 23 18610
18610 21020 24 18611
18611 21020 25 5360
18612 40866 39 82234
18613 63075 1 56148
18614 61991 31 61562
18615 64537 70 30832
18616 50538 1 18617
18617 50538 2 18618
18618 50538 3 18619
18619 50538 4 18620
18620 50538 5 18621
18621 50538 6 18622
18622 50538 7 18623
18623 50538 8 18624
18624 50538 9 18625
18625 50538 10 18626
18626 50538 11 18627
18627 50538 12 18628
18628 50538 13 18629
18629 50538 14 18630
18630 50538 15 18631
18631 50538 16 18632
18632 50538 17 18633
18633 50538 18 18634
18634 50538 19 18635
18635 50538 20 18636
18636 50538 21 18637
18637 50538 22 18638
18638 50538 23 18639
18639 50538 24 18640
18640 50538 25 18641
18641 50538 26 18642
18642 50538 27 18643
18643 50538 28 18644
18644 50538 29 18645
18645 50538 30 18646
18646 50538 31 18647
18647 50538 32 18648
18648 50538 33 18649
18649 50538 34 18650
18650 50538 35 18651
18651 50538 36 18652
18652 50538 37 18653
18653 50538 38 18654
18654 50538 39 18655
18655 50538 40 18656
18656 50538 41 18657
18657 50538 42 18658
18658 50538 43 18659
18659 50538 44 18660
18660 50538 45 18661
18661 50538 46 18662
18662 50538 47 18663
18663 50538 48 18664
18664 50538 49 18665
18665 50538 50 18666
18666 50538 51 18667
18667 50538 52 18668
18668 50538 53 18669
18669 50538 54 18670
18670 50538 55 18671
18671 50538 56 18672
18672 50538 57 18673
18673 50538 58 18674
18674 50538 59 18675
18675 50538 60 18676
18676 50538 61 18677
18677 50538 62 18678
18678 50538 63 18679
18679 50538 64 18680
18680 50538 65 18681
18681 50538 66 18682
18682 50538 67 18683
18683 50538 68 18684
18684 50538 69 18685
18685 50538 70 18686
18686 50538 71 18687
18687 50538 72 18688
18688 50538 73 18689
18689 50538 74 18690
18690 50538 75 18691
18691 50538 76 18692
18692 50538 77 18693
18693 50538 78 18694
18694 50538 79 18695
18695 50538 80 18696
18696 50538 81 18697
18697 50538 82 18698
18698 50538 83 18699
18699 50538 84 18700
18700 50538 85 18701
18701 50538 86 18702
18702 50538 87 18703
18703 50538 88 18704
18704 50538 89 18705
18705 50538 90 18706
18706 50538 91 1
18707 0 0 0
18708 61964 24 23342
18709 50496 32 5114
18710 13625 50 85163
18711 12470 49 18883
18712 25388 5 18713
18713 25388 6 59529
18714 3912 4 99737
18715 0 0 0
18716 6882 59 18717
18717 6882 60 26099
18718 40006 30 14616
18719 0 0 0
18720 47405 71 39275
18721 0 0 0
18722 3211 141 18723
18723 3211 142 18724
18724 3211 143 18725
18725 3211 144 18726
18726 3211 145 18727
18727 3211 146 18728
18728 3211 147 18729
18729 3211 148 18730
18730 3211 149 18731
18731 3211 150 18732
18732 3211 151 18733
18733 3211 152 18734
18734 3211 153 18735
18735 3211 154 18736
18736 3211 155 18737
18737 3211 156 18738
18738 3211 157 18739
18739 3211 158 18740
18740 3211 159 18741
18741 3211 160 18742
18742 3211 161 18743
18743 3211 162 18744
18744 3211 163 18745
18745 3211 164 18746
18746 3211 165 18747
18747 3211 166 1
18748 28089 106 18749
18749 28089 107 18750
18750 28089 108 18751
18751 28089 109 69295
18752 47857 20 72658
18753 17745 79 94441
18754 0 0 0
18755 0 0 0
18756 56034 25 13124
18757 63299 56 18758
18758 63299 57 84796
18759 16442 72 86476
18760 58339 74 92896
18761 49138 64 58542
18762 56149 16 18763
18763 56149 17 18764
18764 56149 18 18765
18765 56149 19 5795
18766 59366 44 63416
18767 0 0 0
18768 33878 114 67820
18769 32571 120 38172
18770 27451 23 81125
18771 0 0 0
18772 19701 35 17185
18773 34979 49 15195
18774 56149 86 18775
18775 56149 87 18776
18776 56149 88 18777
18777 56149 89 8156
18778 44153 69 17299
18779 56149 49 18780
18780 56149 50 18781
18781 56149 51 18782
18782 56149 52 18783
18783 56149 53 25229
18784 45846 75 10758
18785 18454 58 20016
18786 25933 117 13354
18787 39099 17 93082
18788 0 0 0
18789 34906 15 22719
18790 63056 132 83578
18791 62950 9 8641
18792 41569 15 39728
18793 0 0 0
18794 65435 74 20190
18795 0 0 0
18796 57117 53 80103
18797 0 0 0
18798 25217 7 80939
18799 58686 45 15550
18800 54153 14 63526
18801 0 0 0
18802 42584 5 18803
18803 42584 6 18804
18804 42584 7 18805
18805 42584 8 18806
18806 42584 9 18807
18807 42584 10 18808
18808 42584 11 18508
18809 1148 4 41440
18810 14824 83 13347
18811 0 0 0
18812 65003 25 30435
18813 0 0 0
18814 65262 69 18815
18815 65262 70 18816
18816 65262 71 18817
18817 65262 72 18818
18818 65262 73 51818
18819 54691 37 25855
18820 2583 20 35283
18821 0 0 0
18822 37548 72 60350
18823 0 0 0
18824 38049 50 49595
18825 0 0 0
18826 30371 22 18827
18827 30371 23 18828
18828 30371 24 99002
18829 34504 24 58233
18830 63899 116 68173
18831 0 0 0
18832 48082 109 18833
18833 48082 110 18834
18834 48082 111 18835
18835 48082 112 18836
18836 48082 113 18837
18837 48082 114 58786
18838 12831 37 56582
18839 0 0 0
18840 1598 80 30262
18841 0 0 0
18842 7744 122 46676
18843 29267 94 3852
18844 31069 120 18845
18845 31069 121 18846
18846 31069 122 55605
18847 54928 92 99252
18848 19162 141 48449
18849 0 0 0
18850 42523 19 47254
18851 0 0 0
18852 33751 96 18853
18853 33751 97 66778
18854 32768 121 1
18855 0 0 0
18856 3033 107 1
18857 0 0 0
18858 49147 54 18859
18859 49147 55 18860
18860 49147 56 18861
18861 49147 57 18862
18862 49147 58 18863
18863 49147 59 18864
18864 49147 60 41867
18865 36286 11 27916
18866 0 0 0
18867 0 0 0
18868 24034 142 18869
18869 24034 143 18870
18870 24034 144 18871
18871 24034 145 18872
18872 24034 146 18873
18873 24034 147 18874
18874 24034 148 18875
18875 24034 149 18876
18876 24034 150 18877
18877 24034 151 18878
18878 24034 152 18879
18879 24034 153 18880
18880 24034 154 18881
18881 24034 155 18882
18882 24034 156 1
18883 12470 50 43284
18884 0 0 0
18885 0 0 0
18886 39099 12 54649
18887 37910 90 18888
18888 37910 91 18889
18889 37910 92 18890
18890 37910 93 1
18891 0 0 0
18892 12390 142 36454
18893 0 0 0
18894 64581 104 78958
18895 0 0 0
18896 62818 20 46932
18897 0 0 0
18898 24173 47 56426
18899 0 0 0
18900 26895 63 10642
18901 0 0 0
18902 27602 34 15946
18903 0 0 0
18904 15385 31 78450
18905 0 0 0
18906 20818 38 18907
18907 20818 39 18908
18908 20818 40 18909
18909 20818 41 82604
18910 8016 3 71168
18911 62005 61 91780
18912 55562 41 18913
18913 55562 42 18914
18914 55562 43 18915
18915 55562 44 18916
18916 55562 45 18917
18917 55562 46 18918
18918 55562 47 18919
18919 55562 48 18920
18920 55562 49 18921
18921 55562 50 18922
18922 55562 51 18923
18923 55562 52 19510
18924 1684 149 31094
18925 0 0 0
18926 15955 80 18927
18927 15955 81 18928
18928 15955 82 18929
18929 15955 83 18930
18930 15955 84 18931
18931 15955 85 18932
18932 15955 86 18933
18933 15955 87 18934
18934 15955 88 18935
18935 15955 89 64375
18936 2145 111 86425
18937 25933 15 19435
18938 42312 58 18939
18939 42312 59 68434
18940 39016 19 72095
18941 0 0 0
18942 0 0 0
18943 0 0 0
18944 45846 33 36857
18945 0 0 0
18946 24173 9 84025
18947 0 0 0
18948 13065 106 18949
18949 13065 107 18950
18950 13065 108 18951
18951 13065 109 41458
18952 62263 1 18953
18953 62263 2 18954
18954 62263 3 18955
18955 62263 4 18956
18956 62263 5 18957
18957 62263 6 18958
18958 62263 7 18959
18959 62263 8 18960
18960 62263 9 18961
18961 62263 10 18962
18962 62263 11 18963
18963 62263 12 18964
18964 62263 13 18965
18965 62263 14 18966
18966 62263 15 18967
18967 62263 16 18968
18968 62263 17 18969
18969 62263 18 18970
18970 62263 19 18971
18971 62263 20 18972
18972 62263 21 18973
18973 62263 22 18974
18974 62263 23 18975
18975 62263 24 18976
18976 62263 25 18977
18977 62263 26 18978
18978 62263 27 18979
18979 62263 28 18980
18980 62263 29 18981
18981 62263 30 18982
18982 62263 31 18983
18983 62263 32 18984
18984 62263 33 18985
18985 62263 34 18986
18986 62263 35 18987
18987 62263 36 18988
18988 62263 37 18989
18989 62263 38 18990
18990 62263 39 18991
18991 62263 40 18992
18992 62263 41 18993
18993 62263 42 18994
18994 62263 43 18995
18995 62263 44 18996
18996 62263 45 18997
18997 62263 46 18998
18998 62263 47 18999
18999 62263 48 19000
19000 62263 49 19001
19001 62263 50 19002
19002 62263 51 19003
19003 62263 52 19004
